iteration,timestamp,latency_ms,records_returned,http_status,phase
0,2025-06-06 07:10:23,1000.0,1,200,warmup
0,2025-06-06 07:10:26,2000.0,1,200,warmup
0,2025-06-06 07:10:28,1000.0,1,200,warmup
0,2025-06-06 07:10:30,1000.0,1,200,measurement
1,2025-06-06 07:10:33,2000.0,1,200,measurement
2,2025-06-06 07:10:35,1000.0,1,200,measurement
3,2025-06-06 07:10:38,2000.0,1,200,measurement
4,2025-06-06 07:10:40,1000.0,1,200,measurement
5,2025-06-06 07:10:42,1000.0,1,200,measurement
6,2025-06-06 07:10:45,2000.0,1,200,measurement
7,2025-06-06 07:10:47,1000.0,1,200,measurement
8,2025-06-06 07:10:49,1000.0,1,200,measurement
9,2025-06-06 07:10:52,2000.0,1,200,measurement
